"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","(default)","src/Guest.java","3","2","All classes and interfaces must belong to a named package","Naming Rules","NoPackage"
"2","(default)","src/Guest.java","1","2","Class names should begin with an uppercase character","Naming Rules","ClassNamingConventions"
"3","(default)","src/Guest.java","3","4","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"4","(default)","src/Guest.java","3","4","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"5","(default)","src/Guest.java","3","7","Parameter 'name' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"6","(default)","src/Guest.java","3","11","Document empty method","Design Rules","UncommentedEmptyMethod"
"7","(default)","src/MainClass.java","3","9","All classes and interfaces must belong to a named package","Naming Rules","NoPackage"
"8","(default)","src/MainClass.java","3","9","All methods are static.  Consider using Singleton instead.  Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design Rules","UseSingleton"
"9","(default)","src/MainClass.java","1","9","Class names should begin with an uppercase character","Naming Rules","ClassNamingConventions"
"10","(default)","src/MainClass.java","3","9","The class 'mainClass' has a Cyclomatic Complexity of 11 (Highest = 10).","Code Size Rules","CyclomaticComplexity"
"11","(default)","src/MainClass.java","3","11","Parameter 'args' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"12","(default)","src/MainClass.java","3","11","The method 'main' has a Cyclomatic Complexity of 10.","Code Size Rules","CyclomaticComplexity"
"13","(default)","src/MainClass.java","5","13","Found 'DD'-anomaly for variable 'conn' (lines '13'-'22').","Controversial Rules","DataflowAnomalyAnalysis"
"14","(default)","src/MainClass.java","5","14","Found 'DD'-anomaly for variable 'stmt' (lines '14'-'23').","Controversial Rules","DataflowAnomalyAnalysis"
"15","(default)","src/MainClass.java","3","15","Avoid variables with short names like rs","Naming Rules","ShortVariable"
"16","(default)","src/MainClass.java","5","15","Found 'DD'-anomaly for variable 'rs' (lines '15'-'24').","Controversial Rules","DataflowAnomalyAnalysis"
"17","(default)","src/MainClass.java","3","19","Local variable 'connectionURL' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"18","(default)","src/MainClass.java","3","20","Local variable 'connectionUser' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"19","(default)","src/MainClass.java","3","21","Local variable 'connectionPass' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"20","(default)","src/MainClass.java","3","28","Local variable 'userName' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"21","(default)","src/MainClass.java","3","29","Local variable 'password' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"22","(default)","src/MainClass.java","2","34","System.out.print is used","Java Logging Rules","SystemPrintln"
"23","(default)","src/MainClass.java","3","34","The String literal '\t\t' appears 5 times in this file; the first occurrence is on line 34","String and StringBuffer Rules","AvoidDuplicateLiterals"
"24","(default)","src/MainClass.java","3","40","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"25","(default)","src/MainClass.java","3","44","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"26","(default)","src/MainClass.java","3","44","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"27","(default)","src/MainClass.java","3","45","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"28","(default)","src/MainClass.java","3","45","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"29","(default)","src/MainClass.java","3","46","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"30","(default)","src/MainClass.java","3","46","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"31","(default)","src/MainClass.java","3","54","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"32","(default)","src/Site.java","3","17","All classes and interfaces must belong to a named package","Naming Rules","NoPackage"
"33","(default)","src/Site.java","1","17","Class names should begin with an uppercase character","Naming Rules","ClassNamingConventions"
"34","(default)","src/Site.java","3","17","The class 'site' has a Cyclomatic Complexity of 11 (Highest = 10).","Code Size Rules","CyclomaticComplexity"
"35","(default)","src/Site.java","3","19","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"36","(default)","src/Site.java","3","19","Perhaps 'contentPane' could be replaced by a local variable.","Design Rules","SingularField"
"37","(default)","src/Site.java","3","19","Private field 'contentPane' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"38","(default)","src/Site.java","3","21","It is a good practice to call super() in a constructor","Controversial Rules","CallSuperInConstructor"
"39","(default)","src/Site.java","3","21","The constructor 'site' has a Cyclomatic Complexity of 10.","Code Size Rules","CyclomaticComplexity"
"40","(default)","src/Site.java","3","29","Local variable 'btnLogIn' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"41","(default)","src/Site.java","3","31","Avoid variables with short names like e","Naming Rules","ShortVariable"
"42","(default)","src/Site.java","3","31","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"43","(default)","src/Site.java","2","32","System.out.print is used","Java Logging Rules","SystemPrintln"
"44","(default)","src/Site.java","3","39","Local variable 'btnLogOut' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"45","(default)","src/Site.java","3","43","Local variable 'btnReview1' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"46","(default)","src/Site.java","3","45","Avoid variables with short names like e","Naming Rules","ShortVariable"
"47","(default)","src/Site.java","3","45","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"48","(default)","src/Site.java","3","47","Local variable 'textAr' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"49","(default)","src/Site.java","3","49","Local variable 'okbtn' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"50","(default)","src/Site.java","2","56","System.out.print is used","Java Logging Rules","SystemPrintln"
"51","(default)","src/Site.java","3","132","Avoid variables with short names like e","Naming Rules","ShortVariable"
"52","(default)","src/Site.java","3","132","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"53","(default)","src/Site.java","5","147","Found 'DU'-anomaly for variable 'UserName' (lines '147'-'201').","Controversial Rules","DataflowAnomalyAnalysis"
"54","(default)","src/Site.java","5","147","Found 'DU'-anomaly for variable 'UserName' (lines '147'-'201').","Controversial Rules","DataflowAnomalyAnalysis"
"55","(default)","src/Site.java","5","147","Found 'DU'-anomaly for variable 'UserName' (lines '147'-'201').","Controversial Rules","DataflowAnomalyAnalysis"
"56","(default)","src/Site.java","5","147","Found 'DU'-anomaly for variable 'UserName' (lines '147'-'201').","Controversial Rules","DataflowAnomalyAnalysis"
"57","(default)","src/Site.java","5","148","Found 'DU'-anomaly for variable 'Password' (lines '148'-'201').","Controversial Rules","DataflowAnomalyAnalysis"
"58","(default)","src/Site.java","5","148","Found 'DU'-anomaly for variable 'Password' (lines '148'-'201').","Controversial Rules","DataflowAnomalyAnalysis"
"59","(default)","src/Site.java","5","148","Found 'DU'-anomaly for variable 'Password' (lines '148'-'201').","Controversial Rules","DataflowAnomalyAnalysis"
"60","(default)","src/Site.java","5","148","Found 'DU'-anomaly for variable 'Password' (lines '148'-'201').","Controversial Rules","DataflowAnomalyAnalysis"
"61","(default)","src/Site.java","3","153","Use equals() to compare strings instead of '==' or '!='","String and StringBuffer Rules","UseEqualsToCompareStrings"
"62","(default)","src/Site.java","3","153","Use equals() to compare strings instead of '==' or '!='","String and StringBuffer Rules","UseEqualsToCompareStrings"
"63","(default)","src/Site.java","2","161","System.out.print is used","Java Logging Rules","SystemPrintln"
"64","(default)","src/Site.java","2","162","System.out.print is used","Java Logging Rules","SystemPrintln"
"65","(default)","src/Site.java","3","173","Avoid variables with short names like e","Naming Rules","ShortVariable"
"66","(default)","src/Site.java","3","173","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"67","(default)","src/Site.java","3","182","Use equals() to compare strings instead of '==' or '!='","String and StringBuffer Rules","UseEqualsToCompareStrings"
"68","(default)","src/Site.java","2","190","System.out.print is used","Java Logging Rules","SystemPrintln"
"69","(default)","src/UserAccount.java","3","2","All classes and interfaces must belong to a named package","Naming Rules","NoPackage"
"70","(default)","src/UserAccount.java","1","2","Class names should begin with an uppercase character","Naming Rules","ClassNamingConventions"
"71","(default)","src/UserAccount.java","3","4","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"72","(default)","src/UserAccount.java","3","4","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"73","(default)","src/UserAccount.java","3","5","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"74","(default)","src/UserAccount.java","3","5","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"75","(default)","src/UserAccount.java","3","6","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"76","(default)","src/UserAccount.java","3","6","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"77","(default)","src/UserAccount.java","3","12","Parameter 'boolTrust' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"78","(default)","src/UserAccount.java","3","12","Parameter 'name' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"79","(default)","src/UserAccount.java","3","12","Parameter 'pass' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"80","(default)","src/UserAdmin.java","3","2","All classes and interfaces must belong to a named package","Naming Rules","NoPackage"
"81","(default)","src/UserAdmin.java","1","2","Class names should begin with an uppercase character","Naming Rules","ClassNamingConventions"
"82","(default)","src/UserAdmin.java","3","2","Each class should declare at least one constructor","Controversial Rules","AtLeastOneConstructor"
"83","(default)","src/UserAdmin.java","3","4","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"84","(default)","src/UserAdmin.java","3","5","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"85","(default)","src/UserTrusted.java","3","2","All classes and interfaces must belong to a named package","Naming Rules","NoPackage"
"86","(default)","src/UserTrusted.java","1","2","Class names should begin with an uppercase character","Naming Rules","ClassNamingConventions"
"87","(default)","src/UserTrusted.java","3","4","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"88","(default)","src/UserTrusted.java","3","4","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"89","(default)","src/UserTrusted.java","3","5","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"90","(default)","src/UserTrusted.java","3","5","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"91","(default)","src/UserTrusted.java","3","6","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"92","(default)","src/UserTrusted.java","3","6","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"93","(default)","src/UserTrusted.java","3","9","Parameter 'boolTrust' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"94","(default)","src/UserTrusted.java","3","9","Parameter 'name' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"95","(default)","src/UserTrusted.java","3","9","Parameter 'pass' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
